Occupation,OCC_Code,OCC_Type,2014 Empl,2024 Empl,# Incr,% Incr,SelfEmpl,Grow/Replace,Median Wage,Entry Eduction,Experience,OJT,
"Coil winders, tapers, and finishers",51-2021,Line item,14.9,14.1,-0.9,-5.7,—,1.8,"$33,940",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,41.4,38.9,-2.5,-6.0,16.1,14.2,"$30,610",High school diploma or equivalent,None,Long-term on-the-job training,
"Tailors, dressmakers, and sewers",51-6050,Summary,52.5,47.9,-4.6,-8.8,51.1,17.5,"$27,080",—,—,—,
Embalmers,39-4011,Line item,3.8,3.6,-0.2,-6.1,3.5,0.8,"$40,150",Postsecondary nondegree award,None,Short-term on-the-job training,
"Tax examiners and collectors, and revenue agents",13-2081,Line item,67.9,63.7,-4.2,-6.2,—,27.8,"$52,060",Bachelor's degree,None,Moderate-term on-the-job training,
"Textile machine setters, operators, and tenders",51-6060,Summary,79.9,60.5,-19.4,-24.3,6.4,12.3,"$27,260",—,—,—,
"Credit authorizers, checkers, and clerks",43-4041,Line item,46.1,43.3,-2.8,-6.2,—,3.8,"$36,930",High school diploma or equivalent,None,Moderate-term on-the-job training,
Judicial law clerks,23-1012,Line item,12.4,11.6,-0.8,-6.3,—,2.7,"$51,760",Doctoral or professional degree,None,None,
Broadcast technicians,27-4012,Line item,30.1,28.2,-2.0,-6.5,9.0,5.7,"$38,550",Associate's degree,None,Short-term on-the-job training,
"Pressers, textile, garment, and related materials",51-6021,Line item,51.5,48.1,-3.4,-6.6,0.6,12.1,"$21,300",No formal educational credential,None,Short-term on-the-job training,
"Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,84.0,76.1,-8.0,-9.5,15.0,15.1,"$32,400",—,—,—,
Power plant operators,51-8013,Line item,41.1,38.4,-2.7,-6.6,—,14.1,"$74,690",High school diploma or equivalent,None,Long-term on-the-job training,
Mechanical drafters,17-3013,Line item,65.7,61.2,-4.5,-6.8,1.4,7.8,"$54,480",Associate's degree,None,None,
Adhesive bonding machine operators and tenders,51-9191,Line item,18.4,17.1,-1.2,-6.8,0.3,4.8,"$32,290",High school diploma or equivalent,None,Moderate-term on-the-job training,
Gaming surveillance officers and gaming investigators,33-9031,Line item,7.0,6.6,-0.5,-7.0,—,1.0,"$32,630",High school diploma or equivalent,None,Short-term on-the-job training,
Woodworkers,51-7000,Summary,254.6,253.1,-1.5,-0.6,8.2,42.9,"$30,210",—,—,—,
"Logging workers, all other",45-4029,Line item,4.5,4.1,-0.3,-7.5,20.1,1.1,"$38,950",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,30.2,27.9,-2.3,-7.5,1.0,6.5,"$34,390",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Model makers and patternmakers, wood",51-7030,Summary,4.4,4.4,0.0,-0.9,47.3,1.0,"$44,320",—,—,—,
Surveying and mapping technicians,17-3031,Line item,57.3,52.9,-4.3,-7.6,9.2,6.5,"$42,450",High school diploma or equivalent,None,Moderate-term on-the-job training,
Tellers,43-3071,Line item,520.5,480.5,-40.0,-7.7,0.0,203.6,"$27,260",High school diploma or equivalent,None,Short-term on-the-job training,
"Woodworking machine setters, operators, and tenders",51-7040,Summary,122.0,119.8,-2.2,-1.8,2.7,26.7,"$28,460",—,—,—,
Labor relations specialists,13-1075,Line item,82.1,75.6,-6.4,-7.8,2.2,20.0,"$62,310",Bachelor's degree,Less than 5 years,None,
"Graders and sorters, agricultural products",45-2041,Line item,53.0,48.9,-4.1,-7.8,—,8.5,"$22,520",No formal educational credential,None,Short-term on-the-job training,
Computer programmers,15-1131,Line item,328.6,302.2,-26.5,-8.0,5.5,81.0,"$79,840",Bachelor's degree,None,None,
Plant and system operators,51-8000,Summary,325.2,325.9,0.7,0.2,0.1,110.7,"$58,100",—,—,—,
"Power plant operators, distributors, and dispatchers",51-8010,Summary,60.0,56.7,-3.3,-5.6,—,20.6,"$78,370",—,—,—,
"Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,63.6,58.4,-5.2,-8.1,1.5,12.7,"$32,870",High school diploma or equivalent,None,Short-term on-the-job training,
New accounts clerks,43-4141,Line item,52.9,48.6,-4.3,-8.2,—,12.9,"$34,990",High school diploma or equivalent,None,Moderate-term on-the-job training,
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,47.1,43.3,-3.9,-8.2,20.1,11.5,"$45,320",High school diploma or equivalent,Less than 5 years,None,
Procurement clerks,43-3061,Line item,72.3,66.3,-6.0,-8.3,—,25.1,"$41,410",High school diploma or equivalent,None,Moderate-term on-the-job training,
Chemical equipment operators and tenders,51-9011,Line item,66.3,60.8,-5.5,-8.3,1.0,20.9,"$47,780",High school diploma or equivalent,None,Moderate-term on-the-job training,
Miscellaneous plant and system operators,51-8090,Summary,109.1,105.6,-3.5,-3.2,0.2,42.1,"$63,430",—,—,—,
Semiconductor processors,51-9141,Line item,25.3,23.2,-2.1,-8.3,6.2,5.2,"$35,660",Associate's degree,None,Moderate-term on-the-job training,
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,"1,760.3","1,611.5",-148.7,-8.4,5.0,172.6,"$38,390","Some college, no degree",None,Moderate-term on-the-job training,
Reporters and correspondents,27-3022,Line item,49.3,45.1,-4.2,-8.5,14.8,15.9,"$37,820",Bachelor's degree,None,None,
"Tailors, dressmakers, and custom sewers",51-6052,Line item,40.5,37.0,-3.4,-8.5,51.2,13.5,"$28,240",No formal educational credential,None,Moderate-term on-the-job training,
Other production occupations,51-9000,Summary,"2,548.1","2,484.9",-63.2,-2.5,2.7,703.9,"$31,520",—,—,—,
"Chemical processing machine setters, operators, and tenders",51-9010,Summary,110.1,104.1,-6.0,-5.5,1.0,34.7,"$43,600",—,—,—,
Air traffic controllers,53-2021,Line item,24.5,22.4,-2.1,-8.6,—,7.5,"$122,410",Associate's degree,None,Long-term on-the-job training,
"Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,34.9,31.9,-3.0,-8.7,16.3,4.6,"$33,070",High school diploma or equivalent,None,Short-term on-the-job training,
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,185.2,174.4,-10.8,-5.8,1.0,40.1,"$34,440",—,—,—,
"Grinding and polishing workers, hand",51-9022,Line item,29.9,27.3,-2.6,-8.8,1.0,6.5,"$28,720",No formal educational credential,None,Moderate-term on-the-job training,
Farm labor contractors,13-1074,Line item,0.1,0.1,0.0,-8.9,—,0.0,"$35,160",No formal educational credential,Less than 5 years,Short-term on-the-job training,
Transportation security screeners,33-9093,Line item,46.6,42.4,-4.2,-9.0,—,6.6,"$39,680",High school diploma or equivalent,None,Short-term on-the-job training,
Cutting workers,51-9030,Summary,79.4,71.5,-7.9,-10.0,1.5,15.8,"$31,780",—,—,—,
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,470.2,427.3,-42.9,-9.1,0.9,125.2,"$22,000",No formal educational credential,None,Short-term on-the-job training,
Chemical plant and system operators,51-8091,Line item,38.1,34.6,-3.5,-9.2,0.2,14.4,"$59,920",High school diploma or equivalent,None,Long-term on-the-job training,
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,20.9,18.9,-2.0,-9.7,—,5.5,"$36,040",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Sewers, hand",51-6051,Line item,12.0,10.8,-1.2,-9.8,50.9,4.0,"$24,520",No formal educational credential,None,Moderate-term on-the-job training,
"Paper goods machine setters, operators, and tenders",51-9196,Line item,91.9,82.0,-9.9,-10.7,0.5,13.0,"$36,990",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Roof bolters, mining",47-5061,Line item,6.0,5.3,-0.6,-10.8,2.5,0.7,"$56,780",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Medical, dental, and ophthalmic laboratory technicians",51-9080,Summary,83.5,92.2,8.7,10.4,8.4,28.8,"$34,630",—,—,—,
Gaming change persons and booth cashiers,41-2012,Line item,13.3,11.9,-1.4,-10.9,0.9,5.7,"$23,780",High school diploma or equivalent,None,Short-term on-the-job training,
Statistical assistants,43-9111,Line item,16.6,14.8,-1.8,-10.9,7.6,6.7,"$46,850",Bachelor's degree,None,None,
Jewelers and precious stone and metal workers,51-9071,Line item,39.8,35.3,-4.5,-11.3,41.5,6.2,"$38,200",High school diploma or equivalent,None,Long-term on-the-job training,
Insurance underwriters,13-2053,Line item,103.4,91.6,-11.7,-11.4,—,19.5,"$67,680",Bachelor's degree,None,Moderate-term on-the-job training,
Painting workers,51-9120,Summary,169.5,171.7,2.1,1.3,6.3,35.2,"$35,300",—,—,—,
"Home economics teachers, postsecondary",25-1192,Line item,4.3,3.8,-0.5,-11.6,—,0.8,"$69,190",Master's degree,None,None,
Travel agents,41-3041,Line item,74.1,65.4,-8.7,-11.7,11.7,11.5,"$36,460",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Textile, apparel, and furnishings workers, all other",51-6099,Line item,16.2,14.3,-1.9,-11.8,0.7,1.7,"$25,890",High school diploma or equivalent,None,Short-term on-the-job training,
Printing press operators,51-5112,Line item,173.0,151.4,-21.6,-12.5,3.6,26.0,"$35,530",High school diploma or equivalent,None,Moderate-term on-the-job training,
Mathematical technicians,15-2091,Line item,1.2,1.1,-0.2,-12.6,—,0.2,"$49,660",Bachelor's degree,None,None,
Miscellaneous production workers,51-9190,Summary,862.2,837.6,-24.6,-2.9,2.9,238.9,"$27,620",—,—,—,
Broadcast news analysts,27-3021,Line item,5.1,4.5,-0.6,-12.6,14.3,1.6,"$56,680",Bachelor's degree,None,None,
"Fabric menders, except garment",49-9093,Line item,0.8,0.7,-0.1,-12.6,15.3,0.1,"$26,920",No formal educational credential,None,Long-term on-the-job training,
Tool and die makers,51-4111,Line item,77.8,67.7,-10.1,-13.0,1.6,3.8,"$51,060",High school diploma or equivalent,None,Long-term on-the-job training,
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,33.7,29.1,-4.6,-13.5,—,8.3,"$40,680",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,68.2,59.0,-9.2,-13.6,—,24.4,"$32,510",High school diploma or equivalent,None,Moderate-term on-the-job training,
Tire builders,51-9197,Line item,18.1,15.6,-2.5,-13.6,—,4.7,"$41,680",High school diploma or equivalent,None,Moderate-term on-the-job training,
Print binding and finishing workers,51-5113,Line item,51.2,44.2,-7.0,-13.7,—,7.7,"$31,410",High school diploma or equivalent,None,Short-term on-the-job training,
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,20.1,17.3,-2.8,-14.1,0.7,2.1,"$34,240",High school diploma or equivalent,None,Moderate-term on-the-job training,
Radio and television announcers,27-3011,Line item,42.3,36.3,-6.1,-14.3,27.3,12.2,"$31,400",Bachelor's degree,None,Short-term on-the-job training,
Transportation and material moving occupations,53-0000,Summary,"9,748.5","10,215.3",466.8,4.8,3.8,"2,852.9","$30,730",—,—,—,
Supervisors of transportation and material moving workers,53-1000,Summary,378.6,388.3,9.6,2.5,0.2,131.0,"$52,250",—,—,—,
Correspondence clerks,43-4021,Line item,8.4,7.2,-1.2,-14.7,1.8,2.3,"$36,370",High school diploma or equivalent,None,Short-term on-the-job training,
Locksmiths and safe repairers,49-9094,Line item,20.9,17.8,-3.1,-14.8,15.8,10.7,"$40,420",High school diploma or equivalent,None,Long-term on-the-job training,
Shoe and leather workers and repairers,51-6041,Line item,9.7,8.2,-1.5,-15.1,21.7,1.6,"$23,940",High school diploma or equivalent,None,Moderate-term on-the-job training,
Air transportation workers,53-2000,Summary,248.8,254.5,5.7,2.3,1.2,64.5,"$71,510",—,—,—,
Aircraft pilots and flight engineers,53-2010,Summary,119.2,124.5,5.4,4.5,2.5,34.4,"$105,720",—,—,—,
"Cooks, fast food",35-2011,Line item,524.4,444.0,-80.4,-15.3,—,138.7,"$19,860",No formal educational credential,None,Short-term on-the-job training,
Word processors and typists,43-9022,Line item,90.7,76.5,-14.2,-15.7,6.5,3.1,"$38,740",High school diploma or equivalent,None,Short-term on-the-job training,
Air traffic controllers and airfield operations specialists,53-2020,Summary,31.7,29.9,-1.8,-5.8,—,10.0,"$96,870",—,—,—,
"Office machine operators, except computer",43-9071,Line item,69.6,58.0,-11.5,-16.6,1.0,15.8,"$30,460",High school diploma or equivalent,None,Short-term on-the-job training,
"Metal workers and plastic workers, all other",51-4199,Line item,22.4,18.7,-3.7,-16.6,0.8,3.9,"$33,280",High school diploma or equivalent,None,Moderate-term on-the-job training,
Fallers,45-4021,Line item,8.2,6.8,-1.4,-17.2,24.2,2.0,"$37,370",High school diploma or equivalent,None,Moderate-term on-the-job training,
Motor vehicle operators,53-3000,Summary,"4,108.0","4,334.7",226.7,5.5,7.2,912.6,"$34,980",—,—,—,
"Tool grinders, filers, and sharpeners",51-4194,Line item,11.5,9.5,-2.0,-17.5,4.8,2.8,"$36,650",High school diploma or equivalent,None,Moderate-term on-the-job training,
Bus drivers,53-3020,Summary,665.0,702.5,37.5,5.6,0.7,124.9,"$31,920",—,—,—,
"Cutters and trimmers, hand",51-9031,Line item,15.8,13.0,-2.8,-17.5,1.5,3.1,"$27,600",No formal educational credential,None,Short-term on-the-job training,
"Meter readers, utilities",43-5041,Line item,37.4,30.6,-6.7,-18.0,—,6.7,"$38,940",High school diploma or equivalent,None,Short-term on-the-job training,
Driver/sales workers and truck drivers,53-3030,Summary,"3,127.7","3,274.5",146.8,4.7,7.7,678.9,"$36,670",—,—,—,
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,59.5,48.8,-10.7,-18.0,5.8,17.1,"$36,980",High school diploma or equivalent,None,Moderate-term on-the-job training,
Motion picture projectionists,39-3021,Line item,6.7,5.5,-1.2,-18.2,7.5,2.7,"$22,100",No formal educational credential,None,Short-term on-the-job training,
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,36.1,29.4,-6.7,-18.4,—,8.9,"$31,280",High school diploma or equivalent,None,Moderate-term on-the-job training,
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,104.9,85.1,-19.8,-18.8,1.0,21.4,"$29,160",High school diploma or equivalent,None,Short-term on-the-job training,
Computer operators,43-9011,Line item,61.1,49.5,-11.6,-19.0,1.9,4.6,"$42,270",High school diploma or equivalent,None,Moderate-term on-the-job training,
Rail transportation workers,53-4000,Summary,129.1,126.4,-2.7,-2.1,—,50.7,"$57,740",—,—,—,
Locomotive engineers and operators,53-4010,Summary,46.1,44.0,-2.1,-4.5,—,18.3,"$57,130",—,—,—,
